,,,,,,,,,,,,on ground,,,,,,,,,,,,,,,,,,,,
45.61248398,23.22009468,0,4,1,26,9,0,0,0,0,1,0,-0.773999989,2.059998989,0,60,1.00E-04,0,4,0,14,58,0,0,0,0,2,1,0,0,0,43
40.96048355,38.17008209,0,4,1,26,22,0,0,0,0,1,0,-0.043999963,0.369999051,0,60,1.00E-04,0,4,0,14,11,0,0,0,0,2,1,0,0,0,15
44.69848251,3.500080109,0,4,1,66,13,0,0,0,0,1,0,0.522000074,-3.5,0,60,1.00E-04,0,4,0,14,24,0,0,0,0,2,1,0,0,0,14
47.04448318,1.00E-04,0,4,1,71,18,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,37,0,0,0,0,2,1,0,0,0,52
49.50877762,1.00E-04,0,4,1,14,1,0,0,1,0,2,1,0.904877365,0,0,60,1.00E-04,0,4,0,14,50,0,0,0,0,2,1,0,0,0,46
26.12342262,1.00E-04,0,4,0,20,12,0,0,0,0,2,1,-4.439999819,0,0,60,1.00E-04,0,4,0,14,63,0,0,0,0,2,1,0,0,0,29
4.543426514,1.00E-04,0,4,0,214,13,0,0,0,0,2,1,-2.359999299,0,0,60,1.00E-04,0,4,0,14,1,0,0,0,0,2,1,0,0,0,25
-3.516568661,1.00E-04,0,4,0,214,26,0,0,0,0,2,1,-0.279999554,0,0,60,1.00E-04,0,4,0,14,14,0,0,0,0,2,1,0,0,0,46
-3.576568365,1.00E-04,0,4,0,214,39,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,27,0,0,0,0,2,1,0,0,0,46
-28.6565609,1.00E-04,0,4,0,20,12,0,0,0,0,2,1,-4.439999819,0,0,60,1.00E-04,0,4,0,14,40,0,0,0,0,2,1,0,0,0,34
-50.23655701,1.00E-04,0,4,0,214,13,0,0,0,0,2,1,-2.359999299,0,0,60,1.00E-04,0,4,0,14,53,0,0,0,0,2,1,0,0,0,38
-58.29655457,1.00E-04,0,4,0,214,26,0,0,0,0,2,1,-0.279999554,0,0,60,1.00E-04,0,4,0,14,6,0,0,0,0,2,1,0,0,0,9
-58.35655594,1.00E-04,0,4,0,214,39,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,19,0,0,0,0,2,1,0,0,0,7
-35.57656097,1.00E-04,0,4,1,20,11,0,0,0,0,2,1,4.439999819,0,0,60,1.00E-04,0,4,0,14,32,0,0,0,0,2,1,0,0,0,23
-17.99155998,23.22009468,0,4,1,25,9,0,0,0,0,1,0,1.105000019,2.059998989,0,60,1.00E-04,0,4,0,14,45,0,0,0,0,2,1,0,0,0,40
-4.536560059,38.17008209,0,4,1,25,22,0,0,0,0,1,0,0.975000143,0.369999051,0,60,1.00E-04,0,4,0,14,58,0,0,0,0,2,1,0,0,0,12
7.228442192,3.500080109,0,4,1,69,13,0,0,0,0,1,0,0.845000267,-3.5,0,60,1.00E-04,0,4,0,14,11,0,0,0,0,2,1,0,0,0,31
12.73844528,1.00E-04,0,4,1,74,28,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,24,0,0,0,0,2,1,0,0,0,36
12.73844528,1.00E-04,0,4,1,235,13,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,37,0,0,0,0,2,1,0,0,0,3
12.73844528,1.00E-04,0,4,1,235,26,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,50,0,0,0,0,2,1,0,0,0,46
12.73844528,1.00E-04,0,4,1,18,7,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,3,0,0,0,0,2,1,0,0,0,27
12.73844528,1.00E-04,0,4,0,212,13,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,16,0,0,0,0,2,1,0,0,0,5
12.73844528,1.00E-04,0,4,0,212,26,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,29,0,0,0,0,2,1,0,0,0,19
8.302587509,1.00E-04,0,4,0,14,1,0,0,-1,0,2,1,-1.145892441,0,0,60,1.00E-04,0,4,0,14,42,0,0,0,0,2,1,0,0,0,21
2.950863123,1.00E-04,0,4,0,357,13,0,0,0,0,2,1,-5.351724386,0,0,60,1.00E-04,0,4,0,14,55,0,0,0,0,2,1,0,0,0,9
-31.83534241,1.00E-04,0,4,0,357,26,0,0,0,0,2,1,-5.351722479,0,0,60,1.00E-04,0,4,0,14,8,0,0,0,0,2,1,0,0,0,24
-66.62155151,1.00E-04,0,4,0,357,39,0,0,0,0,2,1,-5.351730108,0,0,60,1.00E-04,0,4,0,14,21,0,0,0,0,2,1,0,0,0,50
-84.45754242,1.00E-04,0,4,0,358,13,0,0,0,0,2,1,-1.207999229,0,0,60,1.00E-04,0,4,0,14,34,0,0,0,0,2,1,0,0,0,15
-85.59354401,1.00E-04,0,4,0,358,26,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,47,0,0,0,0,2,1,0,0,0,2
-85.56569672,1.00E-04,0,4,0,246,1,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,60,0,0,0,0,2,1,0,0,0,49
-85.56569672,1.00E-04,0,4,0,246,14,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,13,0,0,0,0,2,1,0,0,0,40
-85.56569672,1.00E-04,0,4,0,180,0,0,0,12,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,26,0,0,0,0,2,1,0,0,0,52
-85.56569672,1.00E-04,0,4,0,180,13,0,0,25,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,39,0,0,0,0,2,1,0,0,0,43
-70.64352417,1.00E-04,0,4,0,234,10,0,0,0,0,2,1,3.927493811,0,0,60,1.00E-04,0,4,0,14,52,0,0,0,0,2,1,0,0,0,7
-54.80608749,1.00E-04,0,4,0,234,23,0,0,0,0,2,1,1.689807832,0,0,60,1.00E-04,0,4,0,14,5,0,0,0,0,2,1,0,0,0,52
-51.7028656,1.00E-04,0,4,0,18,5,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,18,0,0,0,0,2,1,0,0,0,4
-51.7028656,23.22009468,0,4,0,25,9,0,0,0,0,1,0,0,2.059998989,0,60,1.00E-04,0,4,0,14,31,0,0,0,0,2,1,0,0,0,11
-56.01287079,38.17008209,0,4,0,66,13,0,0,0,0,1,0,-0.566000044,0.369999051,0,60,1.00E-04,0,4,0,14,44,0,0,0,0,2,1,0,0,0,22
-62.46087265,31.15006828,0,4,0,66,26,0,0,0,0,1,0,-0.436000168,-1.320000887,0,60,1.00E-04,0,4,0,14,57,0,0,0,0,2,1,0,0,0,7
-62.73887634,2.270056725,0,4,0,66,39,0,0,0,0,1,0,0.27399984,-2.900000095,0,60,1.00E-04,0,4,0,14,70,0,0,0,0,2,1,0,0,0,48
-61.93887711,1.00E-04,0,4,0,41,1,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,8,0,0,0,0,2,1,0,0,0,26
-59.52180862,1.00E-04,0,4,0,353,13,0,0,0,0,0,1,0,0.000984267,0,60,1.00E-04,0,4,0,14,21,0,0,0,0,2,1,0,0,0,39
-62.64956665,40.7178688,0,4,0,353,26,0,0,0,0,0,0,-0.240596294,1.561031342,0,60,1.00E-04,0,4,0,14,34,0,0,0,0,2,1,0,0,0,16
-62.34532547,48.48308182,0,4,0,353,39,0,0,0,0,0,0,-0.240596294,-0.314983368,0,60,1.00E-04,0,4,0,14,47,0,0,0,0,2,1,0,0,0,51
-63.07068634,33.03071213,0,4,0,353,52,0,0,0,0,0,0,-0.240596771,-1.65423584,0,60,1.00E-04,0,4,0,14,60,0,0,0,0,2,1,0,0,0,37
-70.14844513,12.82229233,0,4,0,35,1,0,0,0,0,0,0,-0.758596778,-1.386290431,0,60,1.00E-04,0,4,0,14,13,0,0,0,0,2,1,0,0,0,42
-74.65300751,1.00E-04,0,4,0,43,9,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,26,0,0,0,0,2,1,0,0,0,38
-74.65300751,1.00E-04,0,4,0,43,22,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,39,0,0,0,0,2,1,0,0,0,12
-74.65300751,1.00E-04,0,4,0,39,5,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,52,0,0,0,0,2,1,0,0,0,49
-74.65300751,1.00E-04,0,4,0,14,1,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,5,0,0,0,0,2,1,0,0,0,0
-81.48599243,23.22009468,0,4,0,25,9,0,0,0,0,1,0,-0.773999989,2.059998989,0,60,1.00E-04,0,4,0,14,18,0,0,0,0,2,1,0,0,0,10
-95.20600891,38.17008209,0,4,0,66,13,0,0,0,0,1,0,-1.110000014,0.369999051,1,60,1.00E-04,0,4,0,14,31,0,0,0,0,2,1,0,0,0,4
-108.7260056,31.15006828,0,4,0,66,26,0,0,0,0,1,0,-0.980000138,-1.320000887,1,60,1.00E-04,0,4,0,14,44,0,0,0,0,2,1,0,0,0,33
-117.1360016,-14.34993172,0,4,0,66,39,0,0,0,0,1,0,-0.394000351,-3.5,1,60,1.00E-04,0,4,0,14,57,0,0,0,0,2,1,0,0,0,22
-121.3480148,-52.0499382,0,4,1,348,13,0,0,0,0,1,0,-0.264000475,-2.900000095,1,60,1.00E-04,0,4,0,14,10,0,0,0,0,2,1,0,0,0,10
-123.870018,-89.74995422,0,4,1,348,26,0,0,0,0,1,0,-0.134000421,-2.900000095,1,60,1.00E-04,0,4,0,14,23,0,0,0,0,2,1,0,0,0,20
-124.7020264,-127.4499741,0,4,1,348,39,0,0,0,0,1,0,-0.004000442,-2.900000095,1,60,1.00E-04,0,4,0,14,36,0,0,0,0,2,1,0,0,0,0
-124.7020264,-141.9499512,0,3,1,0,-1,0,0,0,0,1,0,0,0,1,60,1.00E-04,0,4,0,14,49,0,0,0,0,2,1,0,0,0,50
-124.7020264,-141.9499512,0,3,1,0,-1,0,0,0,0,1,0,0,0,1,60,1.00E-04,0,4,0,14,2,0,0,0,0,2,1,0,0,0,9
-124.7020264,-141.9499512,0,3,1,0,-1,0,0,0,0,1,0,0,0,1,60,1.00E-04,0,4,0,14,15,0,0,0,0,2,1,0,0,0,9
-124.7020264,-141.9499512,0,3,1,0,-1,0,0,0,0,1,0,0,0,1,60,1.00E-04,0,4,0,14,28,0,0,0,0,2,1,0,0,0,24
16,112.8500061,0,3,0,12,1,0,0,0,0,1,0,0,-1.150000095,0,60,1.00E-04,0,4,0,14,41,0,0,0,0,2,1,0,0,0,51
16,97.8999939,0,3,0,12,14,0,0,0,0,1,0,0,-1.149999857,0,60,1.00E-04,0,4,0,14,54,0,0,0,0,2,1,0,0,0,48
16,82.94997406,0,3,0,12,27,0,0,0,0,1,0,0,-1.149999261,0,60,1.00E-04,0,4,0,14,7,0,0,0,0,2,1,0,0,0,17
16,67.99995422,0,3,0,12,40,0,0,0,0,1,0,0,-1.14999795,0,60,1.00E-04,0,4,0,14,20,0,0,0,0,2,1,0,0,0,38
16,53.04998016,0,3,0,12,53,0,0,0,0,1,0,0,-1.149997234,0,60,1.00E-04,0,4,0,14,33,0,0,0,0,2,1,0,0,0,7
17.18999863,42.26999664,0,3,0,29,6,0,0,0,0,1,0,0.289999992,-0.779999971,0,60,1.00E-04,0,4,0,14,46,0,0,0,0,2,1,0,0,0,23
17.18999863,42.26999283,0,3,0,354,13,0,0,0,0,0,0,-0.013371802,0.005439377,0,60,1.00E-04,0,4,0,14,59,0,0,0,0,2,1,0,0,0,14
12.42935753,68.0438385,0,3,0,354,26,0,0,0,0,0,0,-0.382131577,1.431825638,0,60,1.00E-04,0,4,0,14,12,0,0,0,0,2,1,0,0,0,11
4.905639648,79.09805298,0,3,0,354,39,0,0,0,0,0,0,-0.401172638,0.378067017,0,60,1.00E-04,0,4,0,14,25,0,0,0,0,2,1,0,0,0,40
-0.331323624,75.12117004,0,3,0,354,52,0,0,0,0,0,0,-0.401370049,-1.197971344,0,60,1.00E-04,0,4,0,14,38,0,0,0,0,2,1,0,0,0,2
-8.202986717,55.09952927,0,3,0,35,1,0,0,0,0,0,0,-0.744417071,-1.524940372,0,60,1.00E-04,0,4,0,14,51,0,0,0,0,2,1,0,0,0,14
