Distance between players,Stage,Smashbot x,y,percent,stock,facing,action value,action frame,invulnerable,hitlag frames left,hitstun frames left,charging smash,jumps left,on ground,x speed,y speed,off stage,Smashbot2 or Human x,y,percent,stock,facing,action value,action frame,invulnerable,hitlag frames left,hitstun frames left,charging smash,jumps left,on ground,x speed,y speed,off stage
77.59999847,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.20000076,0,4,1,322,-1,0,0,0,0,1,0,0,0,0
77.59999847,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.20000076,0,4,1,322,-1,0,0,0,0,1,0,0,0,0
77.59999847,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.20000076,0,4,1,322,-1,0,0,0,0,1,0,0,0,0
77.59999847,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.20000076,0,4,1,322,-1,0,0,0,0,1,0,0,0,0
77.59999847,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.20000076,0,4,1,322,-1,0,0,0,0,1,0,0,0,0
77.6000179,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.25490189,0,4,1,323,1,0,0,0,0,1,0,0,0,0
77.60007616,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.30980682,0,4,1,323,2,0,0,0,0,1,0,0,0,0
77.60017327,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.36470795,0,4,1,323,3,0,0,0,0,1,0,0,0,0
77.60030923,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.41961288,0,4,1,323,4,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.20000076,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,-38.79999924,35.47451401,0,4,1,323,5,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.25490189,0,4,0,323,1,0,0,0,0,1,0,0,0,0,-38.79999924,35.52941513,0,4,1,323,6,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.30980682,0,4,0,323,2,0,0,0,0,1,0,0,0,0,-38.79999924,35.58432007,0,4,1,323,7,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.36470795,0,4,0,323,3,0,0,0,0,1,0,0,0,0,-38.79999924,35.63922119,0,4,1,323,8,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.41961288,0,4,0,323,4,0,0,0,0,1,0,0,0,0,-38.79999924,35.69412613,0,4,1,323,9,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.47451401,0,4,0,323,5,0,0,0,0,1,0,0,0,0,-38.79999924,35.74902725,0,4,1,323,10,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.52941513,0,4,0,323,6,0,0,0,0,1,0,0,0,0,-38.79999924,35.80392838,0,4,1,323,11,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.58432007,0,4,0,323,7,0,0,0,0,1,0,0,0,0,-38.79999924,35.85883331,0,4,1,323,12,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.63922119,0,4,0,323,8,0,0,0,0,1,0,0,0,0,-38.79999924,35.91373444,0,4,1,323,13,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.69412613,0,4,0,323,9,0,0,0,0,1,0,0,0,0,-38.79999924,35.96863937,0,4,1,323,14,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.74902725,0,4,0,323,10,0,0,0,0,1,0,0,0,0,-38.79999924,36.0235405,0,4,1,323,15,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.80392838,0,4,0,323,11,0,0,0,0,1,0,0,0,0,-38.79999924,36.07844162,0,4,1,323,16,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.85883331,0,4,0,323,12,0,0,0,0,1,0,0,0,0,-38.79999924,36.13334656,0,4,1,323,17,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.91373444,0,4,0,323,13,0,0,0,0,1,0,0,0,0,-38.79999924,36.18824768,0,4,1,323,18,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,35.96863937,0,4,0,323,14,0,0,0,0,1,0,0,0,0,-38.79999924,36.24315262,0,4,1,323,19,0,0,0,0,1,0,0,0,0
77.60048402,24,38.79999924,36.0235405,0,4,0,323,15,0,0,0,0,1,0,0,0,0,-38.79999924,36.29805374,0,4,1,323,20,0,0,0,0,1,0,0,0,0
